Provinsi,IPM,Pagu TKDD,Realisasi TKDD,Jumlah Penduduk,Anggaran APBN per kapita,Persentase Penduduk Miskin,Produk Domestik Regional Bruto (PDRB) Atas Dasar Harga Berlaku,Produk Domestik Regional Bruto per Kapita HB,Laju Pertumbuhan PDRB atas dasar konstan 2010
ACEH,74.7,3.08215E+13,3.10746E+13,5482471,5667984,14.45,227018.2,41408000,4.23
BALI,78.01,1.11521E+13,1.1065E+13,4404247,2512343,4.25,274358.18,62294000,5.71
BANTEN,75.77,1.74534E+13,1.74674E+13,12307769,1419215,6.17,814122.03,66147000,4.81
BENGKULU,74.3,1.05701E+13,1.05598E+13,2086027,5062154,14.04,96583.09,46300000,4.28
DI YOGYAKARTA,81.09,1.03559E+13,1.02413E+13,3736477,2740894,11.04,180696.04,48360000,5.07
DKI JAKARTA,83.55,2.4695E+13,2.50802E+13,10672112,2350067,4.44,3443026.23,322619000,4.96
GORONTALO,71.25,6.17242E+12,6.15541E+12,1213167,5073835,15.15,51366.74,42341000,4.5
JAMBI,73.73,1.52321E+13,1.53527E+13,3679148,4172887,7.58,293780.01,79850000,4.67
JAWA BARAT,74.24,7.13218E+13,7.10317E+13,49859943,1424624,7.62,2625225.72,52652000,5
JAWA TENGAH,73.39,6.71297E+13,6.67721E+13,37541159,1778636,10.77,1695621.57,45167000,4.97
JAWA TIMUR,74.65,8.20083E+13,8.19219E+13,41527895,1972695,10.35,2953546.98,71122000,4.95
KALIMANTAN BARAT,70.47,2.07975E+13,2.10913E+13,5623319,3750688,6.71,274468.58,48809000,4.46
KALIMANTAN SELATAN,74.66,3.16308E+13,3.49803E+13,4222354,8284544,4.29,269192.02,63754000,4.84
KALIMANTAN TENGAH,73.73,2.76902E+13,2.88622E+13,2773755,10405464,5.11,208783.35,75271000,4.14
KALIMANTAN TIMUR,78.2,5.16435E+13,5.73147E+13,3909748,14659430,6.11,843571.25,215761000,6.22
KALIMANTAN UTARA,72.88,1.09944E+13,1.15933E+13,730009,15880995,6.45,147278.62,201749000,4.94
KEP. BANGKA BELITUNG,74.09,7.49748E+12,7.45415E+12,1511904,4930306,4.52,102526.77,67813000,4.38
KEP. RIAU,79.08,9.24669E+12,1.01507E+13,2152627,4715512,5.69,331644.52,154065000,5.16
LAMPUNG,72.48,2.15081E+13,2.1528E+13,9313993,2311360,11.11,448850.64,48191000,4.55
MALUKU,72.75,1.21328E+13,1.20494E+13,1920465,6274199,16.42,58487.79,30455000,5.21
MALUKU UTARA,70.98,1.42002E+13,1.43021E+13,1337151,10695912,6.46,85143.13,63675000,20.49
NUSA TENGGARA BARAT,72.37,1.74224E+13,1.73871E+13,5560230,3127037,13.85,166395.45,29926000,1.8
NUSA TENGGARA TIMUR,68.4,2.42609E+13,2.41265E+13,5569063,4332236,19.96,128522.85,23078000,3.47
PAPUA,63.01,1.22117E+13,1.15184E+13,1047104,11000196,26.03,81731.73,78055000,4.22
PAPUA BARAT,67.47,1.40132E+13,1.43964E+13,569571,25275812,20.49,61576.37,108110000,5.18
PAPUA BARAT DAYA,68.36349222,1.01635E+13,1.0132E+13,617700,16402849,15.32749195,36104.57,58450000,1.82
PAPUA PEGUNUNGAN,70.09001545,1.35431E+13,1.28218E+13,1448369,8852550.697,14.10404015,24433.99,16870000,4.78
PAPUA SELATAN,69.29691421,8.09483E+12,7.65802E+12,534412,14329805.47,14.76013952,31357.75,58677000,4.23
PAPUA TENGAH,72.83195374,1.43952E+13,1.49413E+13,1452807,10284414,10.94889679,150377.18,103508000,5.95
RIAU,74.95,2.44717E+13,2.55222E+13,6642886,3842034,6.68,1026472.05,154522000,4.21
SULAWESI BARAT,69.8,6.9218E+12,6.87795E+12,1481074,4643893,11.49,58572.05,39547000,5.23
SULAWESI SELATAN,74.6,3.03134E+13,3.02167E+13,9362330,3227471,8.7,652648.09,69710000,4.51
SULAWESI TENGAH,71.66,1.97493E+13,1.99474E+13,3086750,6462269,12.41,347139.01,112461000,11.91
SULAWESI TENGGARA,72.94,2.04608E+13,2.08404E+13,2749031,7581002,11.43,176179.9,64088000,5.35
SULAWESI UTARA,75.04,2.01051E+13,2.03939E+13,2681533,7605317.555,7.38,171969.42,64131000,5.48
SUMATERA BARAT,75.64,2.043E+13,2.02607E+13,5757162,3519216,5.95,312769.38,54327000,4.62
SUMATERA SELATAN,73.18,3.38652E+13,3.54332E+13,8743554,4052490,11.78,629168.67,71958000,5.08
SUMATERA UTARA,75.13,4.27259E+13,4.27326E+13,15386575,2777265,8.15,1050995.41,68306000,5.01
